deputado;partido;uf;impeachment_dilma;emendas_prometidas;emendas_pagas;voto_temer
Marcelo Álvaro Antônio;PR;MG;SIM;7050215.34;3074552.54;SIM
Marcelo Aro;PHS;MG;SIM;8122930.00;1970039.17;NÃO
Marcelo Castro;PMDB;PI;NÃO;10910804.55;0.00;Abstenção
Marcelo Delaroli;PR;RJ;Não estava no cargo;NaN;NaN;NÃO
Marcelo Matos;PHS;RJ;SIM;5551279.20;0.00;SIM
Marcelo Squassoni;PRB;SP;SIM;7109538.00;361669.20;NÃO
Marcio Alvino;PR;SP;SIM;6803300.00;108576.43;NÃO
Márcio Marinho;PRB;BA;SIM;5327755.00;1100860.35;NÃO
Marco Antônio Cabral;PMDB;RJ;SIM;7179385.00;198729.84;NÃO
Marco Maia;PT;RS;NÃO;9184600.71;3155512.86;SIM
Marco Tebaldi;PSDB;SC;SIM;10324687.18;855888.23;NÃO
Marcon;PT;RS;NÃO;9083017.55;2743281.96;SIM
Marcos Abrão;PPS;GO;SIM;7410827.63;2070872.98;SIM
Marcos Montes;PSD;MG;SIM;8705900.00;1178570.18;NÃO
Marcos Reategui;PSD;AP;SIM;2900000.00;4180216.71;Abstenção
Marcos Rogério;DEM;RO;SIM;7222300.00;2303462.70;SIM
Marcos Soares;DEM;RJ;SIM;4337592.00;505349.00;NÃO
Marcus Pestana;PSDB;MG;SIM;8563953.00;2409841.65;NÃO
Marcus Vicente;PP;ES;SIM;3741500.00;944589.57;NÃO
Margarida Salomão;PT;MG;NÃO;3698510.00;2201379.20;SIM
Maria do Rosário;PT;RS;NÃO;6041426.00;978138.95;SIM
Maria Helena;PSB;RR;SIM;5524459.76;175716.63;NÃO
Mariana Carvalho;PSDB;RO;SIM;5931965.00;703961.67;SIM
Marinaldo Rosendo;PSB;PE;SIM;8159938.00;258036.50;NÃO
Marinha Raupp;PMDB;RO;SIM;1700000.00;1643961.56;NÃO
Mário Negromonte Jr.;PP;BA;Abstenção;8276830.54;12017.07;NÃO
Marx Beltrão;PMDB;AL;SIM;0.00;521195.70;NÃO
Mauricio Quintella;PR;AL;SIM;0.00;2319482.31;NÃO
Mauro Lopes;PMDB;MG;SIM;8111910.00;2017599.53;NÃO
Mauro Mariani;PMDB;SC;SIM;7142119.00;1038499.79;NÃO
Mauro Pereira;PMDB;RS;SIM;8833513.78;3506857.95;NÃO
